$Metabolite	init	adeq	10000
2-PHOSPHO-D-GLYCERATE	-16.883563448097892	-1.4467953905741762	-1.4467953905741762
3-PHOSPHO-D-GLYCERATE	-10.082002443883292	4.528935477008886	4.528935477008886
3-PHOSPHO-D-GLYCEROYL_PHOSPHATE	-5.977139245953636	7.685480712217342	7.685480712217342
ADP	-7.487573774235079	-7.487573774235079	-7.487573774235079
AMP	-11.512925464970229	-inf	-inf
ATP	-4.645992180508347	-4.6459920763416855	-4.6459920763416855
BETA-D-FRUCTOFURANOSE_6-PHOSPHATE	-11.512925464970229	-15.017638731335149	-14.995779856591
D-GLUCOPYRANOSE_6-PHOSPHATE	-11.512925464970229	-11.512961065603923	-11.512961065603923
D-GLYCERALDEHYDE_3-PHOSPHATE	-inf	-14.556653528292559	-14.257711022285545
FRUCTOSE_1,6-BISPHOSPHATE	-11.512925464970229	1.0509922396468554	1.0509922396468554
GLYCERONE_PHOSPHATE	-11.512925464970229	-10.872838929115435	-10.87353988572043
H+	-11.512925464970229	-inf	-20.216135632840565
NAD+	-5.952243833954701	-5.95224344933939	-5.95224344933939
NADH	-9.396669950167675	-9.39667754055793	-9.39667754055793
ORTHOPHOSPHATE	-3.912023005428146	-3.912023005428146	-3.912023005428146
PHOSPHOENOLPYRUVATE	-11.512925464970229	-3.66649897586189	-3.6664684668423657
PYRUVATE	-11.512925464970229	10.719617559710453	10.719617559710453
